Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
50,Zizou Bergs[BEL],35,17-18,48.6%,65.0%,64.2%,262,8.7%,111,3.7%,9.8%,62.6%,72.6%,52.2%,57.9%,80.8%,6.3,2.2,35,36.8%,36.6%,5.7%,3.6%,28.4%,50.1%,18.9%,6.6,2.4,54.5,102.8,35,34.8%,92,264,0.54,2.6,7.5,0.92,2.6,63.5%,160,252,0.53,2.5,7.2,0.92,2.6,35,1.05,6211,50.5%,15,8-7,53.3%,15.0%,100,51-49,51.0%,967,480-487,49.6%,1:57,40.9,39.5
51,Tomas Martin Etcheverry[ARG],60,31-29,51.7%,64.4%,62.8%,389,7.9%,104,2.1%,6.1%,65.6%,72.0%,49.8%,53.1%,81.9%,6.5,2.3,60,36.7%,37.4%,7.6%,3.5%,28.1%,50.9%,21.8%,6.5,2.4,65.0,80.9,60,37.5%,166,443,0.58,2.8,7.4,1.06,2.8,64.7%,251,388,0.51,2.5,6.5,0.88,2.3,60,1.03,9899,50.6%,32,14-18,43.8%,20.5%,156,83-73,53.2%,1520,786-734,51.7%,2:03,47.1,44.6
52,Quentin Halys[FRA],20,11-9,55.0%,67.7%,65.1%,274,16.0%,80,4.7%,11.1%,57.7%,80.8%,49.8%,56.0%,87.0%,6.4,2.1,20,32.2%,32.2%,7.9%,3.7%,24.6%,44.2%,13.3%,6.1,2.0,80.0,121.9,20,37.2%,35,94,0.36,1.7,4.7,0.65,1.8,72.2%,91,126,0.47,2.3,6.3,0.65,1.8,20,1.00,3316,50.5%,14,8-6,57.1%,25.9%,54,28-26,51.9%,532,269-263,50.6%,1:47,39.4,38.5
53,Nicolas Jarry[CHI],43,19-24,44.2%,65.5%,63.3%,378,10.7%,99,2.8%,7.6%,63.0%,74.3%,50.4%,54.5%,81.8%,6.3,2.2,43,33.0%,33.5%,7.2%,2.8%,25.4%,46.2%,14.4%,6.3,2.1,60.0,102.1,43,33.2%,81,244,0.43,2.2,5.7,0.72,1.9,64.3%,184,286,0.51,2.6,6.7,0.91,2.4,43,0.96,7098,49.2%,26,12-14,46.2%,23.2%,112,49-63,43.8%,1123,539-584,48.0%,2:06,48.5,45.9
54,Gabriel Diallo[CAN],16,8-8,50.0%,61.3%,59.1%,154,10.0%,48,3.1%,9.7%,68.0%,68.5%,46.0%,51.0%,80.3%,6.8,2.6,16,39.2%,39.1%,4.6%,3.1%,35.8%,45.3%,22.1%,6.8,2.7,68.0,123.8,16,36.2%,50,138,0.61,3.1,8.6,1.14,3.1,61.9%,73,118,0.52,2.7,7.4,1.02,2.8,16,1.01,3069,50.3%,10,3-7,30.0%,22.7%,44,22-22,50.0%,454,233-221,51.3%,2:03,44.8,38.5
55,Zhizhen Zhang[CHN],54,25-29,46.3%,65.3%,63.4%,408,10.0%,111,2.7%,7.4%,63.5%,73.0%,52.0%,56.2%,82.4%,6.2,2.2,54,33.8%,35.7%,11.7%,3.5%,25.5%,47.5%,16.9%,6.2,2.1,50.5,115.2,54,38.0%,111,292,0.44,2.2,5.4,0.82,2.1,56.9%,152,267,0.41,2.0,4.9,0.85,2.1,54,0.98,8187,49.5%,28,11-17,39.3%,20.7%,135,63-72,46.7%,1312,650-662,49.5%,1:34,37.5,37.1
56,Roberto Bautista Agut[ESP],46,25-21,54.3%,62.8%,63.0%,129,3.5%,91,2.5%,7.8%,68.1%,67.6%,52.5%,56.9%,78.8%,6.5,2.4,46,37.0%,39.9%,13.1%,3.9%,26.7%,53.3%,21.0%,6.4,2.4,53.5,64.2,46,40.8%,117,287,0.52,2.5,6.2,1.00,2.5,62.4%,199,319,0.56,2.7,6.9,1.03,2.6,46,0.99,7235,50.1%,17,12-5,70.6%,14.5%,117,62-55,53.0%,1122,562-560,50.1%,1:55,45.3,44.0
57,Jacob Fearnley[GBR],5,2-3,40.0%,65.7%,67.3%,28,6.2%,24,5.3%,13.3%,60.0%,74.2%,53.0%,61.1%,84.3%,6.5,2.2,5,32.3%,33.6%,8.2%,2.2%,24.6%,48.3%,14.3%,6.5,2.1,71.0,87.4,5,32.3%,10,31,0.44,2.4,6.2,0.77,2.0,60.7%,17,28,0.40,2.2,5.6,0.85,2.2,5,0.94,904,49.0%,4,2-2,50.0%,30.8%,13,6-7,46.2%,140,69-71,49.3%,2:09,49.5,42.7
58,Benjamin Bonzi[FRA],11,5-6,45.5%,63.9%,62.2%,64,7.7%,16,1.9%,5.3%,63.7%,71.4%,50.7%,53.5%,76.3%,6.4,2.3,11,36.2%,37.3%,7.6%,2.7%,30.8%,46.3%,19.7%,6.7,2.4,57.0,62.5,11,36.1%,26,72,0.55,2.8,6.5,1.00,2.4,64.0%,55,86,0.66,3.3,7.8,1.19,2.8,11,1.00,1714,49.6%,7,4-3,57.1%,26.9%,26,12-14,46.2%,263,126-137,47.9%,1:51,47.0,42.8
59,Roberto Carballes Baena[ESP],51,25-26,49.0%,62.2%,62.5%,145,3.7%,107,2.7%,7.8%,64.9%,67.6%,52.2%,56.6%,75.7%,6.5,2.4,51,37.7%,38.1%,6.4%,3.4%,29.9%,50.7%,21.2%,6.6,2.5,65.0,84.8,51,35.7%,128,359,0.60,2.8,7.0,1.00,2.5,59.7%,218,365,0.60,2.9,7.2,1.15,2.9,51,1.00,7871,49.9%,19,11-8,57.9%,14.8%,128,59-69,46.1%,1207,585-622,48.5%,1:58,46.8,45.7
60,Camilo Ugo Carabelli[ARG],8,2-6,25.0%,53.2%,54.2%,18,2.8%,28,4.3%,10.4%,58.6%,63.9%,37.9%,42.3%,58.4%,7.3,3.4,8,38.6%,38.3%,5.1%,3.8%,29.0%,51.6%,26.7%,5.9,2.3,89.0,104.1,8,60.0%,24,40,0.44,2.2,5.0,1.33,3.0,64.4%,67,104,1.17,5.8,13.0,2.06,4.6,8,0.82,1177,46.6%,2,1-1,50.0%,11.1%,18,5-13,27.8%,179,76-103,42.5%,1:52,49.9,45.8
61,Fabian Marozsan[HUN],51,23-28,45.1%,62.0%,61.6%,232,5.9%,122,3.1%,8.7%,64.8%,69.0%,49.1%,53.8%,75.0%,6.4,2.5,51,36.4%,37.6%,9.8%,4.0%,27.3%,51.3%,20.9%,6.3,2.3,53.0,71.2,51,39.9%,127,318,0.52,2.5,6.2,0.98,2.5,56.3%,198,352,0.57,2.7,6.9,1.19,3.0,51,0.96,7815,49.4%,24,14-10,58.3%,18.6%,129,59-70,45.7%,1224,588-636,48.0%,1:36,37.8,37.5
62,Kei Nishikori[JPN],17,8-9,47.1%,60.6%,60.9%,31,2.2%,26,1.9%,5.9%,68.4%,63.4%,54.7%,58.2%,78.0%,6.6,2.6,17,36.1%,38.0%,10.3%,3.4%,27.9%,50.9%,17.9%,6.4,2.3,40.0,74.5,17,33.3%,38,114,0.54,2.6,6.7,0.86,2.2,60.0%,69,115,0.55,2.6,6.8,1.05,2.7,17,0.92,2752,48.5%,5,2-3,40.0%,11.4%,44,20-24,45.5%,421,201-220,47.7%,1:29,34.3,32.9
63,Francisco Comesana[ARG],11,4-7,36.4%,62.5%,61.7%,82,7.3%,37,3.3%,8.7%,62.0%,70.5%,49.5%,54.2%,76.0%,6.5,2.5,11,34.2%,33.3%,5.6%,4.1%,28.0%,43.8%,15.0%,6.4,2.2,33.0,62.7,11,37.7%,26,69,0.40,1.9,6.3,0.72,2.4,59.0%,59,100,0.58,2.8,9.1,1.14,3.7,11,0.91,2223,48.4%,7,4-3,57.1%,19.4%,36,15-21,41.7%,344,156-188,45.3%,2:29,45.5,44.2
64,Laslo Djere[SRB],27,10-17,37.0%,61.8%,60.7%,171,7.6%,69,3.1%,8.4%,63.5%,69.2%,48.9%,53.4%,77.0%,6.7,2.5,27,36.1%,36.3%,6.3%,3.3%,27.1%,51.7%,21.6%,6.3,2.3,94.0,145.6,27,40.7%,74,182,0.53,2.5,6.7,1.03,2.7,63.9%,138,216,0.64,3.0,8.0,1.08,2.9,27,0.95,4414,49.3%,17,7-10,41.2%,23.6%,72,32-40,44.4%,681,335-346,49.2%,1:49,40.9,40.0
65,Joao Fonseca[BRA],19,12-7,63.2%,66.2%,65.4%,93,6.7%,31,2.2%,6.5%,65.8%,71.3%,56.5%,60.5%,82.6%,6.4,2.1,19,37.3%,37.9%,7.0%,3.4%,30.4%,52.2%,24.4%,6.4,2.4,88.0,88.9,19,35.5%,54,152,0.69,2.8,8.0,1.00,2.8,58.7%,54,92,0.42,1.7,4.8,0.70,2.0,19,1.10,2810,51.6%,15,8-7,53.3%,27.8%,54,32-22,59.3%,439,234-205,53.3%,1:44,36.5,42.1
66,Jaume Munar[ESP],37,13-24,35.1%,60.1%,61.2%,128,4.4%,136,4.7%,13.3%,64.8%,67.1%,47.1%,54.3%,72.0%,6.5,2.6,37,40.8%,41.2%,5.1%,2.8%,34.8%,50.7%,26.8%,6.8,2.8,56.0,73.4,37,37.6%,120,319,0.71,3.4,8.6,1.26,3.2,59.4%,184,310,0.69,3.3,8.4,1.33,3.4,37,1.02,5939,50.2%,6,1-5,16.7%,6.3%,95,41-54,43.2%,898,444-454,49.4%,1:53,44.1,42.4
67,Juncheng Shang[CHN],46,25-21,54.3%,64.0%,63.9%,210,5.6%,115,3.0%,7.9%,61.6%,70.7%,53.2%,57.8%,79.9%,6.5,2.3,46,35.8%,37.8%,10.5%,3.2%,27.4%,50.1%,19.4%,6.4,2.3,50.0,72.4,46,33.3%,114,342,0.58,2.8,7.4,0.92,2.5,63.3%,202,319,0.55,2.6,6.9,0.94,2.5,46,0.99,7553,49.9%,27,17-10,63.0%,21.8%,124,68-56,54.8%,1169,579-590,49.5%,2:02,45.3,44.6
68,Mattia Bellucci[ITA],14,6-8,42.9%,65.5%,63.5%,147,12.1%,47,3.9%,10.4%,62.6%,73.9%,51.3%,57.2%,81.3%,6.5,2.2,14,32.9%,35.8%,12.4%,2.5%,26.3%,44.3%,13.8%,6.2,2.1,60.0,64.6,14,31.7%,26,82,0.43,2.1,5.9,0.65,1.9,69.0%,78,113,0.60,2.8,8.1,0.88,2.5,14,0.95,2394,49.4%,7,5-2,71.4%,17.5%,40,19-21,47.5%,376,178-198,47.3%,1:49,38.3,38.4
69,Damir Dzumhur[BIH],6,2-4,33.3%,58.8%,60.5%,2,0.7%,9,3.3%,9.1%,63.9%,65.1%,47.5%,52.2%,70.5%,6.2,2.6,6,38.5%,38.5%,6.0%,3.8%,32.3%,47.7%,26.2%,6.3,2.4,117.5,205.0,6,44.0%,11,25,0.60,1.8,4.2,0.79,1.8,43.5%,10,23,0.52,1.6,3.8,0.93,2.2,6,0.93,539,48.8%,1,0-1,0.0%,7.1%,14,5-9,35.7%,86,42-44,48.8%,1:04,27.6,43.0
70,Learner Tien[USA],10,6-4,60.0%,61.8%,61.5%,34,4.3%,17,2.1%,6.6%,67.5%,65.7%,53.9%,57.7%,75.4%,6.3,2.4,10,35.5%,37.9%,9.7%,2.0%,26.4%,52.6%,21.0%,6.3,2.2,59.0,103.5,10,38.8%,26,67,0.54,1.9,6.7,0.72,2.6,64.8%,57,88,0.70,2.4,8.8,0.86,3.1,10,0.93,1577,48.8%,8,5-3,62.5%,22.2%,36,18-18,50.0%,250,121-129,48.4%,1:46,29.5,40.4
71,Daniel Altmaier[GER],36,13-23,36.1%,62.3%,61.3%,227,7.6%,93,3.1%,8.4%,62.7%,70.6%,48.4%,52.8%,77.3%,6.5,2.5,36,35.3%,34.6%,4.9%,3.6%,29.0%,45.0%,17.0%,6.5,2.3,52.5,98.5,36,37.0%,78,211,0.46,2.3,5.9,0.84,2.2,58.9%,149,253,0.55,2.7,7.0,1.12,2.9,36,0.94,5952,48.8%,24,14-10,58.3%,25.8%,93,38-55,40.9%,916,432-484,47.2%,1:53,43.7,40.9
72,Hamad Medjedovic[SRB],17,9-8,52.9%,67.2%,65.6%,169,11.8%,54,3.8%,11.4%,66.9%,74.3%,53.0%,59.8%,85.2%,6.2,2.0,17,34.7%,36.5%,11.8%,3.9%,27.3%,46.8%,14.9%,6.6,2.3,42.0,66.5,17,32.4%,34,105,0.46,2.3,6.2,0.74,2.0,69.1%,76,110,0.48,2.4,6.5,0.74,2.0,17,1.06,2931,50.6%,10,5-5,50.0%,21.7%,46,23-23,50.0%,457,229-228,50.1%,1:50,40.7,38.3
73,Bu Yunchaokete[CHN],15,9-6,60.0%,66.3%,64.5%,103,9.4%,25,2.3%,5.4%,57.8%,74.5%,55.2%,58.3%,82.6%,6.2,2.1,15,35.5%,37.8%,10.9%,2.9%,29.4%,46.1%,20.8%,6.3,2.2,48.0,83.7,15,40.2%,37,92,0.52,2.6,6.1,1.06,2.5,61.3%,49,80,0.45,2.3,5.3,0.89,2.1,15,1.05,2212,50.8%,10,5-5,50.0%,28.6%,35,20-15,57.1%,356,184-172,51.7%,1:55,49.2,46.7
74,Yoshihito Nishioka[JPN],37,20-17,54.1%,63.0%,63.0%,81,3.0%,48,1.8%,4.8%,63.3%,67.7%,54.9%,57.7%,79.0%,6.4,2.4,37,35.4%,38.0%,13.1%,3.8%,25.9%,50.2%,20.3%,6.3,2.2,58.0,115.5,37,40.3%,87,216,0.50,2.3,5.8,0.91,2.4,60.8%,138,227,0.54,2.4,6.1,0.93,2.4,37,0.96,5421,49.2%,14,9-5,64.3%,14.6%,96,51-45,53.1%,852,422-430,49.5%,1:43,39.7,42.2
75,Arthur Rinderknech[FRA],43,21-22,48.8%,66.5%,63.7%,469,13.2%,110,3.1%,8.4%,63.1%,76.6%,49.3%,53.8%,83.4%,6.3,2.1,43,33.1%,34.0%,8.4%,3.0%,25.7%,44.4%,15.5%,6.3,2.1,61.0,82.1,43,32.2%,89,276,0.48,2.4,6.4,0.78,2.1,64.1%,168,262,0.46,2.3,6.1,0.82,2.2,43,0.99,7168,49.6%,25,14-11,56.0%,21.9%,114,56-58,49.1%,1140,562-578,49.3%,1:57,44.0,42.0
76,Alexander Bublik[KAZ],50,25-25,50.0%,62.9%,62.6%,565,14.2%,316,8.0%,19.9%,60.1%,75.7%,43.8%,54.7%,78.3%,6.5,2.4,50,35.5%,36.0%,7.2%,3.3%,29.1%,45.9%,19.2%,6.4,2.3,58.0,72.3,50,39.5%,115,291,0.49,2.3,5.8,0.90,2.3,62.1%,216,348,0.57,2.7,7.0,1.03,2.6,50,0.96,7772,49.5%,21,10-11,47.6%,16.4%,128,60-68,46.9%,1205,590-615,49.0%,1:36,37.4,37.0
77,Roman Safiullin[RUS],43,18-25,41.9%,64.3%,63.4%,305,8.5%,130,3.6%,9.3%,61.1%,73.3%,50.1%,55.3%,79.2%,6.3,2.2,43,36.5%,37.2%,7.4%,3.2%,29.6%,48.7%,20.2%,6.5,2.4,42.0,93.8,43,36.7%,115,313,0.55,2.7,7.3,0.99,2.7,62.3%,197,316,0.55,2.7,7.3,1.03,2.8,43,1.02,7290,50.2%,18,7-11,38.9%,15.5%,116,54-62,46.6%,1142,568-574,49.7%,1:52,41.4,39.5
78,Hugo Gaston[FRA],29,13-16,44.8%,59.2%,59.4%,87,3.5%,65,2.6%,6.1%,57.2%,65.5%,50.8%,54.1%,70.1%,6.6,2.7,29,36.8%,37.7%,7.7%,3.3%,31.0%,47.2%,21.5%,6.4,2.4,64.0,79.4,29,37.6%,82,218,0.57,2.8,7.5,1.04,2.8,56.2%,145,258,0.68,3.3,8.9,1.43,3.9,29,0.90,4927,48.2%,13,9-4,69.2%,16.5%,79,33-46,41.8%,759,347-412,45.7%,1:54,41.8,40.2
79,Aleksandar Vukic[AUS],47,22-25,46.8%,64.1%,61.1%,423,11.2%,83,2.2%,5.4%,59.4%,73.7%,50.0%,52.8%,79.4%,6.5,2.3,47,33.6%,34.5%,9.8%,3.8%,24.4%,48.3%,16.1%,6.3,2.1,60.0,90.8,47,36.6%,94,257,0.44,2.2,5.5,0.79,2.0,62.1%,195,314,0.54,2.6,6.7,1.00,2.5,47,0.94,7458,49.1%,28,19-9,67.9%,23.5%,119,56-63,47.1%,1164,554-610,47.6%,1:48,42.6,40.8
80,Aleksandar Kovacevic[USA],32,10-22,31.3%,64.9%,63.1%,328,12.0%,114,4.2%,10.2%,59.1%,75.9%,49.0%,54.5%,82.6%,6.4,2.3,32,31.8%,33.6%,11.9%,3.4%,24.6%,43.1%,12.6%,6.2,2.0,60.5,119.0,32,32.3%,54,167,0.39,2.0,5.2,0.64,1.7,66.8%,149,223,0.52,2.6,7.0,0.87,2.3,32,0.91,5405,48.5%,20,6-14,30.0%,23.5%,85,30-55,35.3%,855,405-450,47.4%,1:60,45.1,42.6
81,Christopher Oconnell[AUS],39,17-22,43.6%,63.8%,61.6%,293,9.8%,78,2.6%,6.4%,59.1%,73.7%,49.4%,52.8%,81.2%,6.6,2.4,39,33.7%,35.4%,11.3%,3.6%,25.4%,48.0%,15.8%,6.3,2.1,48.0,67.1,39,34.8%,72,207,0.45,2.2,5.3,0.77,1.8,64.0%,151,236,0.52,2.5,6.1,0.90,2.2,39,0.93,5850,49.0%,16,8-8,50.0%,17.0%,94,43-51,45.7%,907,438-469,48.3%,1:52,46.6,44.9
82,Rinky Hijikata[AUS],37,15-22,40.5%,59.6%,59.7%,155,5.2%,112,3.8%,9.1%,58.8%,68.3%,47.1%,51.8%,71.7%,6.6,2.7,37,36.2%,37.6%,9.4%,3.4%,28.4%,48.8%,19.1%,6.4,2.3,51.5,60.6,37,36.4%,88,242,0.52,2.5,6.5,0.93,2.4,60.4%,194,321,0.72,3.4,8.7,1.34,3.4,37,0.89,5919,47.9%,18,12-6,66.7%,18.9%,95,38-57,40.0%,909,409-500,45.0%,1:50,43.0,41.4
83,Corentin Moutet[FRA],30,13-17,43.3%,60.0%,60.3%,54,2.1%,50,2.0%,6.0%,67.2%,65.7%,48.3%,51.4%,71.5%,6.6,2.7,30,38.9%,38.5%,3.8%,3.0%,34.7%,47.6%,26.1%,6.7,2.6,53.0,58.8,30,40.6%,101,249,0.64,3.0,8.3,1.23,3.4,58.4%,153,262,0.69,3.2,8.7,1.33,3.6,30,0.97,5123,49.3%,16,7-9,43.8%,19.5%,82,37-45,45.1%,769,374-395,48.6%,1:46,38.8,37.3
84,Borna Coric[CRO],31,12-19,38.7%,64.0%,62.6%,208,8.6%,71,2.9%,7.6%,61.3%,71.9%,51.5%,55.7%,80.7%,6.6,2.4,31,35.2%,35.9%,9.1%,4.1%,26.6%,48.1%,17.3%,6.6,2.3,42.0,56.0,31,37.0%,64,173,0.47,2.3,5.6,0.84,2.1,64.5%,129,200,0.54,2.6,6.5,0.93,2.3,31,0.98,4845,49.6%,17,5-12,29.4%,22.4%,76,32-44,42.1%,738,361-377,48.9%,1:53,46.1,43.4
85,Botic Van De Zandschulp[NED],44,18-26,40.9%,61.0%,61.6%,212,6.1%,166,4.8%,12.9%,62.7%,70.3%,45.3%,52.0%,74.4%,6.6,2.6,44,36.7%,37.0%,7.0%,3.7%,28.1%,50.7%,20.2%,6.5,2.4,57.5,82.0,44,38.0%,106,279,0.53,2.6,6.3,0.99,2.4,59.9%,199,332,0.64,3.1,7.5,1.24,3.0,44,0.94,6844,49.0%,21,8-13,38.1%,19.6%,107,44-63,41.1%,1045,493-552,47.2%,1:54,47.0,44.1
86,Raphael Collignon[BEL],3,0-3,0.0%,63.7%,70.2%,10,4.9%,23,11.3%,33.3%,66.2%,72.6%,46.4%,69.6%,73.5%,6.0,2.2,3,28.8%,29.6%,7.3%,1.8%,23.3%,43.3%,2.9%,6.4,1.9,93.0,106.3,3,12.5%,1,8,0.24,1.1,2.7,0.14,0.3,62.5%,15,24,0.71,3.4,8.0,1.29,3.0,3,0.79,423,45.6%,2,1-1,50.0%,28.6%,7,1-6,14.3%,68,26-42,38.2%,1:37,41.7,41.4
87,Jan Lennard Struff[GER],51,30-21,58.8%,66.4%,65.8%,500,11.1%,218,4.8%,11.6%,58.2%,77.3%,51.4%,58.1%,84.5%,6.5,2.2,51,36.6%,37.8%,10.1%,4.2%,27.9%,50.1%,18.3%,6.7,2.5,39.0,61.6,51,33.0%,128,388,0.56,2.8,7.6,0.93,2.5,66.6%,215,323,0.46,2.3,6.3,0.78,2.1,51,1.09,9220,51.2%,43,27-16,62.8%,31.2%,138,80-58,58.0%,1396,718-678,51.4%,1:50,40.5,36.3
88,Adam Walton[AUS],14,3-11,21.4%,64.8%,64.1%,75,6.6%,29,2.5%,7.2%,64.7%,72.2%,51.2%,55.2%,80.8%,6.3,2.2,14,32.4%,34.6%,12.1%,3.0%,24.8%,46.2%,13.3%,6.3,2.0,74.5,97.9,14,31.6%,25,79,0.42,2.1,5.6,0.68,1.8,63.2%,60,95,0.52,2.6,6.8,0.95,2.5,14,0.92,2327,48.3%,8,1-7,12.5%,21.6%,37,11-26,29.7%,370,172-198,46.5%,1:52,42.5,40.6
89,Kamil Majchrzak[POL],2,1-1,50.0%,70.5%,71.4%,1,2.3%,1,2.3%,6.7%,65.9%,75.9%,60.0%,64.3%,100.0%,6.3,1.9,2,63.6%,63.0%,6.1%,12.1%,57.9%,71.4%,71.4%,4.7,3.0,906.5,906.5,2,83.3%,5,6,0.86,1.5,3.0,1.25,2.5,100.0%,8,8,1.14,2.0,4.0,0.00,0.0,2,2.15,77,67.5%,1,0-1,0.0%,25.0%,4,2-2,50.0%,14,12-2,85.7%,0:25,12.3,38.2
90,James Duckworth[AUS],24,9-15,37.5%,65.3%,63.7%,183,9.4%,58,3.0%,7.4%,60.0%,73.7%,52.6%,56.8%,83.7%,6.5,2.3,24,30.6%,33.6%,15.8%,3.5%,20.6%,46.7%,10.8%,6.2,1.9,52.0,81.7,24,32.0%,32,100,0.34,1.7,4.2,0.53,1.3,67.3%,101,150,0.50,2.5,6.3,0.82,2.0,24,0.88,3793,48.5%,15,9-6,60.0%,25.0%,60,25-35,41.7%,596,283-313,47.5%,1:46,42.3,40.2
91,Cameron Norrie[GBR],39,21-18,53.8%,65.1%,64.6%,209,6.3%,90,2.7%,7.6%,64.3%,72.6%,51.6%,55.8%,82.1%,6.4,2.2,39,36.1%,38.2%,10.2%,3.0%,28.9%,49.6%,22.0%,6.4,2.3,66.5,75.2,39,39.8%,113,284,0.55,2.7,7.3,1.09,2.9,64.5%,169,262,0.50,2.5,6.7,0.89,2.4,39,1.03,6613,50.7%,27,8-19,29.6%,26.0%,104,53-51,51.0%,1033,539-494,52.2%,2:01,45.3,42.7
92,Vit Kopriva[CZE],7,0-7,0.0%,54.0%,54.6%,30,5.3%,31,5.5%,13.7%,59.9%,65.3%,37.2%,43.1%,58.8%,6.6,3.0,7,32.4%,33.9%,9.6%,2.8%,23.4%,49.7%,18.9%,5.7,1.8,57.0,57.0,7,54.8%,17,31,0.34,1.6,4.4,0.89,2.4,47.8%,32,67,0.79,3.5,9.6,1.84,5.0,7,0.70,1072,43.8%,2,0-2,0.0%,10.5%,19,3-16,15.8%,175,67-108,38.3%,1:53,41.8,44.4
93,Jesper De Jong[NED],7,2-5,28.6%,60.6%,59.9%,49,7.2%,25,3.7%,8.6%,57.2%,69.5%,48.6%,53.2%,72.1%,6.5,2.6,7,32.9%,33.2%,9.0%,4.0%,26.0%,43.8%,18.4%,5.8,1.9,39.0,72.1,7,61.3%,19,31,0.30,1.4,4.4,0.86,2.7,56.1%,37,66,0.63,3.0,9.4,1.32,4.1,7,0.83,1276,47.6%,3,0-3,0.0%,13.6%,22,7-15,31.8%,207,94-113,45.4%,1:16,24.3,25.2
94,Reilly Opelka[USA],15,7-8,46.7%,69.3%,63.9%,282,22.5%,53,4.2%,11.4%,62.7%,80.0%,51.3%,57.9%,86.8%,6.1,1.9,15,28.2%,27.6%,7.4%,3.7%,21.0%,41.6%,9.6%,6.1,1.7,62.0,67.7,15,29.2%,19,65,0.33,1.6,4.3,0.48,1.3,67.9%,57,84,0.41,2.1,5.6,0.68,1.8,15,0.92,2445,49.2%,11,4-7,36.4%,27.5%,40,17-23,42.5%,402,197-205,49.0%,1:56,43.4,42.6
95,Luca Nardi[ITA],16,4-12,25.0%,57.3%,59.1%,43,3.4%,69,5.5%,14.6%,62.2%,66.2%,42.6%,49.9%,68.1%,6.6,2.8,16,34.6%,34.1%,5.8%,3.8%,24.5%,51.4%,17.3%,6.3,2.2,58.5,60.8,16,37.9%,33,87,0.46,2.2,5.4,0.83,2.1,55.8%,77,138,0.72,3.5,8.6,1.53,3.8,16,0.81,2453,46.2%,5,1-4,20.0%,12.5%,40,11-29,27.5%,382,163-219,42.7%,1:48,43.0,42.1
96,Mackenzie Mcdonald[USA],18,5-13,27.8%,59.7%,60.1%,70,4.8%,56,3.8%,11.0%,65.2%,65.7%,48.5%,54.5%,70.3%,6.2,2.5,18,38.2%,38.6%,8.6%,4.7%,29.4%,51.5%,24.4%,6.3,2.4,86.0,137.1,18,43.4%,59,136,0.56,2.7,7.6,1.16,3.3,48.1%,65,135,0.57,2.6,7.5,1.37,3.9,18,0.95,2975,48.7%,6,1-5,16.7%,11.8%,51,19-32,37.3%,478,225-253,47.1%,1:50,39.0,40.1
97,Alexander Shevchenko[KAZ],49,21-28,42.9%,60.6%,59.8%,268,6.8%,128,3.2%,8.1%,60.0%,68.4%,48.8%,53.1%,73.6%,6.6,2.6,49,36.4%,37.1%,6.7%,2.8%,28.3%,50.3%,19.7%,6.3,2.3,63.0,76.0,49,40.7%,120,295,0.49,2.3,6.0,0.93,2.4,56.8%,209,368,0.61,2.9,7.5,1.23,3.2,49,0.92,7777,48.7%,22,15-7,68.2%,17.1%,129,56-73,43.4%,1210,563-647,46.5%,1:39,37.7,37.5
98,Pablo Carreno Busta[ESP],16,8-8,50.0%,61.2%,61.6%,58,4.8%,44,3.6%,9.9%,63.3%,67.9%,49.7%,55.1%,73.4%,6.6,2.6,16,37.8%,40.2%,9.3%,2.4%,29.9%,49.0%,27.2%,6.2,2.3,56.0,81.9,16,47.6%,50,105,0.57,2.6,6.6,1.25,3.1,55.0%,60,109,0.59,2.7,6.8,1.23,3.1,16,0.97,2350,49.9%,8,2-6,25.0%,20.0%,40,19-21,47.5%,368,185-183,50.3%,1:37,38.9,39.7
99,Mariano Navone[ARG],42,18-24,42.9%,57.9%,58.2%,104,3.2%,92,2.9%,8.5%,66.2%,62.8%,48.2%,52.7%,67.9%,6.6,2.8,42,40.3%,39.9%,3.8%,3.2%,34.8%,50.3%,28.6%,6.6,2.6,66.0,116.0,42,43.5%,141,324,0.66,3.1,7.7,1.34,3.4,56.5%,203,359,0.74,3.4,8.5,1.49,3.7,42,0.96,6445,49.1%,10,4-6,40.0%,9.5%,105,46-59,43.8%,979,471-508,48.1%,1:45,42.1,41.1
100,Nishesh Basavareddy[USA],3,1-2,33.3%,63.3%,62.4%,20,8.8%,9,4.0%,10.8%,63.3%,73.4%,45.8%,51.4%,80.0%,6.5,2.4,3,35.2%,36.6%,11.3%,4.3%,22.8%,53.2%,25.0%,6.4,2.3,50.0,73.0,3,47.4%,9,19,0.53,1.6,6.3,0.75,3.0,74.1%,20,27,0.77,2.3,9.0,0.58,2.3,3,0.96,456,49.1%,5,1-4,20.0%,41.7%,12,5-7,41.7%,71,37-34,52.1%,1:48,27.1,42.8
